artist_name,album_name,album_link,album_cover,album_popularity,release_date,total_tracks,tracks,lyrics
Queen,Queen,https://open.spotify.com/album/2hZTdsWsAqlgrYG6Nd6Egg,https://i.scdn.co/image/ab67616d0000b2731de3187680d052813e7fd4d0,47,1973-07-13,16,Keep Yourself Alive ,"Keep Yourself Alive Lyrics[Intro]
Taking off

[Verse 1]
I was told a million times of all the troubles in my way
Mind you grow a little wiser, little better every day
But if I crossed a million rivers and I rode a million miles
Then I'd still be where I started, bread and butter for a smile
Well, I sold a million mirrors in a shop in Alley Way
But I never saw my face in any window any day
Now they say your folks are telling you, “Be a superstar”
But I tell you, just be satisfied and stay right where you are
[Chorus]
Keep yourself alive (Yeah), keep yourself alive
Take you all your time and-a money, honey, you'll survive
[Verse 2]
Well, I've loved a million women in a belladonic haze
And I ate a million dinners brought to me on silver trays
Give me everything I need to feed my body and my soul
And I'll grow a little bigger, maybe that can be my goal
I was told a million times of all the people in my way
How I had to keep on trying and get better every day
But if I crossed a million rivers and I rode a million miles
Then I'd still be where I started, same as when I started
You might also like[Chorus]
Keep yourself alive (Come on), keep yourself alive
Take you all your time and-a money, honey, you'll survive (shake)
[Drum Solo]

[Guitar Solo]
(Ow!)

[Chorus]
Keep yourself alive (whoa), keep yourself alive
Oh, take you all your time and-a money to keep me satisfied

[Bridge]
Do you think you're better every day?
No, I just think I'm two steps nearer to my grave
[Chorus]
Keep yourself alive (come on), keep yourself alive
You take your time and take my money, keep yourself alive
Keep yourself alive (come on), keep yourself alive
All you people, keep yourself alive

Keep yourself alive (come on, come on), keep yourself alive
Take you all your time and-a money to keep me satisfied
Keep yourself alive, keep yourself alive
All you people, keep yourself alive
[Outro]
Take you all your time and money, honey, you will survive
Keep you satisfied, keep yourself alive…17Embed"
Queen,Queen,https://open.spotify.com/album/2hZTdsWsAqlgrYG6Nd6Egg,https://i.scdn.co/image/ab67616d0000b2731de3187680d052813e7fd4d0,47,1973-07-13,16,The Night Comes Down ,
Queen,Queen,https://open.spotify.com/album/2hZTdsWsAqlgrYG6Nd6Egg,https://i.scdn.co/image/ab67616d0000b2731de3187680d052813e7fd4d0,47,1973-07-13,16,Great King Rat ,
Queen,Queen,https://open.spotify.com/album/2hZTdsWsAqlgrYG6Nd6Egg,https://i.scdn.co/image/ab67616d0000b2731de3187680d052813e7fd4d0,47,1973-07-13,16,Jesus ,"Jesus Lyrics[Verse 1]
And then I saw Him in the crowd
A lot of people had gathered 'round Him
The beggars shouted, the lepers called Him
The old man said nothing
He just stared about Him

[Chorus]
All going down
To see the Lord Jesus
All going down
To see the Lord Jesus (going down)
All going down

[Verse 2]
Then came a man before his feet he fell
Unclean, said the leper and rang his bell
Felt the palm of a hand touch his head
Go now, go now
You're a new man instead
[Chorus]
All going down
To see the Lord Jesus
All going down
To see the Lord Jesus (right)
All going down
You might also like[Verse 3]
It all began with the three wise men
Followed a star, took them to Bethlehem
And made it heard throughout the land
Born was a leader of man

[Chorus]
All going down
To see the Lord Jesus
All going down (going down to Bethlehem)
To see the Lord Jesus
All going down

[Guitar Solo]
[Verse 4]
It all began with the three wise men
Followed a star, took them to Bethlehem
And made it heard throughout the land
Born was a leader of man, that's right

[Chorus]
All going down
To see the Lord Jesus
All going down
To see the Lord Jesus
All going down1Embed"
Queen,Queen,https://open.spotify.com/album/2hZTdsWsAqlgrYG6Nd6Egg,https://i.scdn.co/image/ab67616d0000b2731de3187680d052813e7fd4d0,47,1973-07-13,16,Liar ,
Queen,Queen,https://open.spotify.com/album/2hZTdsWsAqlgrYG6Nd6Egg,https://i.scdn.co/image/ab67616d0000b2731de3187680d052813e7fd4d0,47,1973-07-13,16,Mad The Swine ,
Queen,Queen II,https://open.spotify.com/album/48MhNEYxMJvcBbqz85UTQP,https://i.scdn.co/image/ab67616d0000b273d92f69c3b3adb389afdde64f,54,1974-03-08,16,Procession ,
Queen,Queen II,https://open.spotify.com/album/48MhNEYxMJvcBbqz85UTQP,https://i.scdn.co/image/ab67616d0000b273d92f69c3b3adb389afdde64f,54,1974-03-08,16,Father To Son ,
Queen,Queen II,https://open.spotify.com/album/48MhNEYxMJvcBbqz85UTQP,https://i.scdn.co/image/ab67616d0000b273d92f69c3b3adb389afdde64f,54,1974-03-08,16,White Queen (As It Began) ,
Queen,Queen II,https://open.spotify.com/album/48MhNEYxMJvcBbqz85UTQP,https://i.scdn.co/image/ab67616d0000b273d92f69c3b3adb389afdde64f,54,1974-03-08,16,Some Day One Day ,
