artist_name,album_name,album_link,album_cover,album_popularity,release_date,total_tracks,tracks
Queen,News Of The World (2011 Remaster),https://open.spotify.com/album/7tB40pGzj6Tg0HePj2jWZt,https://i.scdn.co/image/ab67616d0000b2731f7077ae1018b5fbab08dfa8,74,1977-10-28,11,"Get Down, Make Love - Remastered 2011"
Queen,News Of The World (2011 Remaster),https://open.spotify.com/album/7tB40pGzj6Tg0HePj2jWZt,https://i.scdn.co/image/ab67616d0000b2731f7077ae1018b5fbab08dfa8,74,1977-10-28,11,Sleeping On The Sidewalk - Remastered 2011
Queen,News Of The World (2011 Remaster),https://open.spotify.com/album/7tB40pGzj6Tg0HePj2jWZt,https://i.scdn.co/image/ab67616d0000b2731f7077ae1018b5fbab08dfa8,74,1977-10-28,11,Who Needs You - Remastered 2011
Queen,News Of The World (2011 Remaster),https://open.spotify.com/album/7tB40pGzj6Tg0HePj2jWZt,https://i.scdn.co/image/ab67616d0000b2731f7077ae1018b5fbab08dfa8,74,1977-10-28,11,It's Late - Remastered 2011
Queen,News Of The World (2011 Remaster),https://open.spotify.com/album/7tB40pGzj6Tg0HePj2jWZt,https://i.scdn.co/image/ab67616d0000b2731f7077ae1018b5fbab08dfa8,74,1977-10-28,11,My Melancholy Blues - Remastered 2011
Queen,Innuendo (2011 Remaster),https://open.spotify.com/album/5kffKW0sSLo6tkLg1veUGC,https://i.scdn.co/image/ab67616d0000b273024b36346101df444742cde2,64,1991-02-05,12,Innuendo - Remastered 2011
Queen,Innuendo (2011 Remaster),https://open.spotify.com/album/5kffKW0sSLo6tkLg1veUGC,https://i.scdn.co/image/ab67616d0000b273024b36346101df444742cde2,64,1991-02-05,12,I'm Going Slightly Mad - Remastered 2011
Queen,Innuendo (2011 Remaster),https://open.spotify.com/album/5kffKW0sSLo6tkLg1veUGC,https://i.scdn.co/image/ab67616d0000b273024b36346101df444742cde2,64,1991-02-05,12,Headlong - Remastered 2011
Queen,Innuendo (2011 Remaster),https://open.spotify.com/album/5kffKW0sSLo6tkLg1veUGC,https://i.scdn.co/image/ab67616d0000b273024b36346101df444742cde2,64,1991-02-05,12,I Can't Live With You - Remastered 2011
Queen,Innuendo (2011 Remaster),https://open.spotify.com/album/5kffKW0sSLo6tkLg1veUGC,https://i.scdn.co/image/ab67616d0000b273024b36346101df444742cde2,64,1991-02-05,12,Don't Try So Hard - 2011 Remaster
Queen,Innuendo (2011 Remaster),https://open.spotify.com/album/5kffKW0sSLo6tkLg1veUGC,https://i.scdn.co/image/ab67616d0000b273024b36346101df444742cde2,64,1991-02-05,12,Ride The Wild Wind - Remastered 2011
Queen,Innuendo (2011 Remaster),https://open.spotify.com/album/5kffKW0sSLo6tkLg1veUGC,https://i.scdn.co/image/ab67616d0000b273024b36346101df444742cde2,64,1991-02-05,12,All God's People - Remastered 2011
Queen,Innuendo (2011 Remaster),https://open.spotify.com/album/5kffKW0sSLo6tkLg1veUGC,https://i.scdn.co/image/ab67616d0000b273024b36346101df444742cde2,64,1991-02-05,12,These Are The Days Of Our Lives - 2011 Remaster
Queen,Innuendo (2011 Remaster),https://open.spotify.com/album/5kffKW0sSLo6tkLg1veUGC,https://i.scdn.co/image/ab67616d0000b273024b36346101df444742cde2,64,1991-02-05,12,Delilah - Remastered 2011
Queen,Innuendo (2011 Remaster),https://open.spotify.com/album/5kffKW0sSLo6tkLg1veUGC,https://i.scdn.co/image/ab67616d0000b273024b36346101df444742cde2,64,1991-02-05,12,The Hitman - Remastered 2011
Queen,Innuendo (2011 Remaster),https://open.spotify.com/album/5kffKW0sSLo6tkLg1veUGC,https://i.scdn.co/image/ab67616d0000b273024b36346101df444742cde2,64,1991-02-05,12,Bijou - 2011 Remaster
Queen,Innuendo (2011 Remaster),https://open.spotify.com/album/5kffKW0sSLo6tkLg1veUGC,https://i.scdn.co/image/ab67616d0000b273024b36346101df444742cde2,64,1991-02-05,12,The Show Must Go On - Remastered 2011
Queen,A Kind Of Magic (2011 Remaster),https://open.spotify.com/album/0pEfDPZko6TnNOgrZMe5nn,https://i.scdn.co/image/ab67616d0000b273e98d08fbea1a2f03229abc20,67,1986-06-02,9,One Vision - Remastered 2011
Queen,A Kind Of Magic (2011 Remaster),https://open.spotify.com/album/0pEfDPZko6TnNOgrZMe5nn,https://i.scdn.co/image/ab67616d0000b273e98d08fbea1a2f03229abc20,67,1986-06-02,9,A Kind Of Magic - Remastered 2011
Queen,A Kind Of Magic (2011 Remaster),https://open.spotify.com/album/0pEfDPZko6TnNOgrZMe5nn,https://i.scdn.co/image/ab67616d0000b273e98d08fbea1a2f03229abc20,67,1986-06-02,9,One Year Of Love - Remastered 2011
Queen,A Kind Of Magic (2011 Remaster),https://open.spotify.com/album/0pEfDPZko6TnNOgrZMe5nn,https://i.scdn.co/image/ab67616d0000b273e98d08fbea1a2f03229abc20,67,1986-06-02,9,Pain Is So Close To Pleasure - Remastered 2011
Queen,A Kind Of Magic (2011 Remaster),https://open.spotify.com/album/0pEfDPZko6TnNOgrZMe5nn,https://i.scdn.co/image/ab67616d0000b273e98d08fbea1a2f03229abc20,67,1986-06-02,9,Friends Will Be Friends - Remastered 2011
Queen,A Kind Of Magic (2011 Remaster),https://open.spotify.com/album/0pEfDPZko6TnNOgrZMe5nn,https://i.scdn.co/image/ab67616d0000b273e98d08fbea1a2f03229abc20,67,1986-06-02,9,Who Wants To Live Forever - Remastered 2011
Queen,A Kind Of Magic (2011 Remaster),https://open.spotify.com/album/0pEfDPZko6TnNOgrZMe5nn,https://i.scdn.co/image/ab67616d0000b273e98d08fbea1a2f03229abc20,67,1986-06-02,9,Gimme The Prize - Remastered 2011
Queen,A Kind Of Magic (2011 Remaster),https://open.spotify.com/album/0pEfDPZko6TnNOgrZMe5nn,https://i.scdn.co/image/ab67616d0000b273e98d08fbea1a2f03229abc20,67,1986-06-02,9,Don't Lose Your Head - Remastered 2011
Queen,A Kind Of Magic (2011 Remaster),https://open.spotify.com/album/0pEfDPZko6TnNOgrZMe5nn,https://i.scdn.co/image/ab67616d0000b273e98d08fbea1a2f03229abc20,67,1986-06-02,9,Princes Of The Universe - Remastered 2011
Queen,Made In Heaven (2011 Remaster),https://open.spotify.com/album/391ScNR3xKywWSpfDwP3n0,https://i.scdn.co/image/ab67616d0000b2735f8c271d01157fdb59478f14,61,1995-11-06,13,It's A Beautiful Day - Remastered 2011
Queen,Made In Heaven (2011 Remaster),https://open.spotify.com/album/391ScNR3xKywWSpfDwP3n0,https://i.scdn.co/image/ab67616d0000b2735f8c271d01157fdb59478f14,61,1995-11-06,13,Made In Heaven - 2011 Remaster
Queen,Made In Heaven (2011 Remaster),https://open.spotify.com/album/391ScNR3xKywWSpfDwP3n0,https://i.scdn.co/image/ab67616d0000b2735f8c271d01157fdb59478f14,61,1995-11-06,13,Let Me Live - Remastered 2011
Queen,Made In Heaven (2011 Remaster),https://open.spotify.com/album/391ScNR3xKywWSpfDwP3n0,https://i.scdn.co/image/ab67616d0000b2735f8c271d01157fdb59478f14,61,1995-11-06,13,Mother Love - 2011 Remaster
Queen,Made In Heaven (2011 Remaster),https://open.spotify.com/album/391ScNR3xKywWSpfDwP3n0,https://i.scdn.co/image/ab67616d0000b2735f8c271d01157fdb59478f14,61,1995-11-06,13,My Life Has Been Saved - Remastered 2011
Queen,Made In Heaven (2011 Remaster),https://open.spotify.com/album/391ScNR3xKywWSpfDwP3n0,https://i.scdn.co/image/ab67616d0000b2735f8c271d01157fdb59478f14,61,1995-11-06,13,I Was Born To Love You - 2011 Remaster
Queen,Made In Heaven (2011 Remaster),https://open.spotify.com/album/391ScNR3xKywWSpfDwP3n0,https://i.scdn.co/image/ab67616d0000b2735f8c271d01157fdb59478f14,61,1995-11-06,13,Heaven For Everyone - Remastered 2011
Queen,Made In Heaven (2011 Remaster),https://open.spotify.com/album/391ScNR3xKywWSpfDwP3n0,https://i.scdn.co/image/ab67616d0000b2735f8c271d01157fdb59478f14,61,1995-11-06,13,Too Much Love Will Kill You - Remastered 2011
Queen,Made In Heaven (2011 Remaster),https://open.spotify.com/album/391ScNR3xKywWSpfDwP3n0,https://i.scdn.co/image/ab67616d0000b2735f8c271d01157fdb59478f14,61,1995-11-06,13,You Don't Fool Me - Remastered 2011
Queen,Made In Heaven (2011 Remaster),https://open.spotify.com/album/391ScNR3xKywWSpfDwP3n0,https://i.scdn.co/image/ab67616d0000b2735f8c271d01157fdb59478f14,61,1995-11-06,13,A Winter's Tale - 2011 Remaster
Queen,Made In Heaven (2011 Remaster),https://open.spotify.com/album/391ScNR3xKywWSpfDwP3n0,https://i.scdn.co/image/ab67616d0000b2735f8c271d01157fdb59478f14,61,1995-11-06,13,It's A Beautiful Day (Reprise) - Remastered 2011
Queen,Made In Heaven (2011 Remaster),https://open.spotify.com/album/391ScNR3xKywWSpfDwP3n0,https://i.scdn.co/image/ab67616d0000b2735f8c271d01157fdb59478f14,61,1995-11-06,13,Yeah - Remastered 2011
Queen,Made In Heaven (2011 Remaster),https://open.spotify.com/album/391ScNR3xKywWSpfDwP3n0,https://i.scdn.co/image/ab67616d0000b2735f8c271d01157fdb59478f14,61,1995-11-06,13,Untitled - Remastered 2011
Queen,The Miracle (2011 Remaster),https://open.spotify.com/album/3h6SV9wHJtNL1YswZUJs8V,https://i.scdn.co/image/ab67616d0000b27327fda1adf296f242416b4230,58,1989-05-22,10,Party - Remastered 2011
